All,FacingBet,UpToFlopOnly,UpToTurnOnly,UpToRiverOnly
AmountToCall,CBisCheckRaise,BetsRaisesPF,BetsRaisesPF,BetsRaisesPF
CurrentPot,AggressorPos,NumPairsFlop,BetsRaisesF,BetsRaisesF
NumPlayersStart,AggInPosVsMe,TwoToFlushDrawFlop,NumPairsFlop,BetsRaisesT
NumPlayersLeft,AggStack,HighCardFlop,NumPairsTurn,NumPairsFlop
BigBlind,ESvsAgg,RangeFlop,TwoToFlushDrawFlop,NumPairsTurn
NumChecksGame,,TwoToStraightDrawFlop,TwoToFlushDrawTurn,NumPairsRiver
LastToAct,,ThreeToStraightFlop,FlushTurned,TwoToFlushDrawFlop
LastToActStack,,NumFaceCardsFlop,HighCardFlop,TwoToFlushDrawTurn
FinalPotLastHandTable,,AvgCardRankFlop,HighCardTurn,FlushTurned
BetsRaisesGame,,,RangeFlop,FlushRivered
MeanOtherStackRelBBRelSelf,,,RangeTurn,HighCardFlop
SDOtherStackRelBBRelSelf,,,TwoToStraightDrawFlop,HighCardTurn
MaxOtherStackRelBBRelSelf,,,TwoToStraightDrawTurn,HighCardRiver
MinOtherStackRelBBRelSelf,,,ThreeToStraightFlop,RangeFlop
IsAgg,,,ThreeOrMoreToStraightTurn,RangeTurn
SeatRelDealerRelNP,,,TurnOverCard,RangeRiver
EffectiveStack,,,NumFaceCardsFlop,TwoToStraightDrawFlop
StackToPot,,,NumFaceCardsTurn,TwoToStraightDrawTurn
IsSB,,,AvgCardRankFlop,ThreeToStraightFlop
IsBB,,,AvgCardRankTurn,ThreeOrMoreToStraightTurn
InvestedThisGame,,,TurnBrick,ThreeOrMoreToStraightRiver
LastAction,,,,TurnOverCard
PreflopFoldPct,,,,RiverOverCard
PreflopCheckPct,,,,NumFaceCardsFlop
PreflopCallPct,,,,NumFaceCardsTurn
PreflopBetPct,,,,NumFaceCardsRiver
PreflopRaisePct,,,,AvgCardRankFlop
FlopFoldPct,,,,AvgCardRankTurn
FlopCheckPct,,,,AvgCardRankRiver
FlopCallPct,,,,TurnBrick
FlopBetPct,,,,RiverBrick
FlopRaisePct,,,,
TurnFoldPct,,,,
TurnCheckPct,,,,
TurnCallPct,,,,
TurnBetPct,,,,
TurnRaisePct,,,,
RiverFoldPct,,,,
RiverCheckPct,,,,
RiverCallPct,,,,
RiverBetPct,,,,
RiverRaisePct,,,,
AllFoldPct,,,,
AllCheckPct,,,,
AllCallPct,,,,
AllBetPct,,,,
AllRaisePct,,,,
VPIP,,,,
PreflopRaisePct,,,,
NetAtTable,,,,
sdVPIP,,,,
ThreeBetPct,,,,
SeeShowdownPct,,,,
AvgCommitFolded,,,,
AllAggFactor,,,,
FlopAggFactor,,,,
TurnAggFactor,,,,
RiverAggFactor,,,,
WinWhenSeeFlopPct,,,,
WinWIthoutShowdownPct,,,,
WinAtShowdownPct,,,,
ContBetPct,,,,
BetRiverPct,,,,
CallPreflopRaisePct,,,,
FoldToCBet,,,,
CallCBet,,,,
RaiseCBet,,,,
FoldToFlopBet,,,,
CallFlopBet,,,,
RaiseFlopBet,,,,
NetFromLastHand,,,,
ParticipatedInLastHand,,,,
